Gene	hep_dn	pberghei_dn	povale_dn	PBANKA_transcript	PocGH01_transcript
HEP_00057300	NA	NA	NA	NA	NA
HEP_00057900	NA	NA	NA	NA	NA
HEP_00058100	NA	NA	NA	NA	NA
HEP_00058500	NA	NA	NA	NA	NA
HEP_00059200	NA	NA	NA	NA	NA
HEP_00059800	NA	NA	NA	NA	NA
HEP_00060600	NA	NA	NA	NA	NA
HEP_00061100	NA	NA	NA	NA	NA
HEP_00061600	NA	NA	NA	NA	NA
HEP_00061700	NA	NA	NA	NA	NA
HEP_00062500	NA	NA	NA	NA	NA
HEP_00062600	NA	NA	NA	NA	NA
HEP_00062800	NA	NA	NA	NA	NA
HEP_00064000	NA	NA	NA	NA	NA
HEP_00065000	NA	NA	NA	NA	NA
HEP_00065100	NA	NA	NA	NA	NA
HEP_00065200	NA	NA	NA	NA	NA
HEP_00065300	NA	NA	NA	NA	NA
HEP_00065400	NA	NA	NA	NA	NA
HEP_00065500	NA	NA	NA	NA	NA
HEP_00065600	NA	NA	NA	NA	NA
HEP_00065700	NA	NA	NA	NA	NA
HEP_00065800	NA	NA	NA	NA	NA
HEP_00066000	NA	NA	NA	NA	NA
HEP_00066100	NA	NA	NA	NA	NA
HEP_00066200	NA	NA	NA	NA	NA
HEP_00066300	NA	NA	NA	NA	NA
HEP_00066400	NA	NA	NA	NA	NA
HEP_00066700	NA	NA	NA	NA	NA
HEP_00066800	NA	NA	NA	NA	NA
HEP_00067300	NA	NA	NA	NA	NA
HEP_00067400	NA	NA	NA	NA	NA
HEP_00067600	NA	NA	NA	NA	NA
HEP_00068100	NA	NA	NA	NA	NA
HEP_00068600	NA	NA	NA	NA	NA
HEP_00069400	NA	NA	NA	NA	NA
HEP_00069800	NA	NA	NA	NA	NA
HEP_00069900	NA	NA	NA	NA	NA
HEP_00070000	NA	NA	NA	NA	NA
HEP_00070100	NA	NA	NA	NA	NA
HEP_00070200	NA	NA	NA	NA	NA
HEP_00070300	NA	NA	NA	NA	NA
HEP_00070400	NA	NA	NA	NA	NA
HEP_00070500	NA	NA	NA	NA	NA
HEP_00071300	NA	NA	NA	NA	NA
HEP_00072300	NA	NA	NA	NA	NA
HEP_00073200	NA	NA	NA	NA	NA
HEP_00073300	NA	NA	NA	NA	NA
HEP_00073400	NA	NA	NA	NA	NA
HEP_00073500	NA	NA	NA	NA	NA
HEP_00073600	NA	NA	NA	NA	NA
HEP_00073700	NA	NA	NA	NA	NA
HEP_00073800	NA	NA	NA	NA	NA
HEP_00074500	NA	NA	NA	NA	NA
HEP_00076200	NA	NA	NA	NA	NA
HEP_00076300	NA	NA	NA	NA	NA
HEP_00076500	NA	NA	NA	NA	NA
HEP_00076700	NA	NA	NA	NA	NA
HEP_00078400	NA	NA	NA	NA	NA
HEP_00079900	NA	NA	NA	NA	NA
HEP_00080200	NA	NA	NA	NA	NA
HEP_00080300	NA	NA	NA	NA	NA
HEP_00082800	NA	NA	NA	NA	NA
HEP_00083300	NA	NA	NA	NA	NA
HEP_00084300	NA	NA	NA	NA	NA
HEP_00085200	NA	NA	NA	NA	NA
HEP_00087400	NA	NA	NA	NA	NA
HEP_00087600	NA	NA	NA	NA	NA
HEP_00091300	NA	NA	NA	NA	NA
HEP_00091800	NA	NA	NA	NA	NA
HEP_00092200	NA	NA	NA	NA	NA
HEP_00092500	NA	NA	NA	NA	NA
HEP_00092800	NA	NA	NA	NA	NA
HEP_00093600	NA	NA	NA	NA	NA
HEP_00095200	NA	NA	NA	NA	NA
HEP_00095300	NA	NA	NA	NA	NA
HEP_00095400	NA	NA	NA	NA	NA
HEP_00095500	NA	NA	NA	NA	NA
HEP_00095600	NA	NA	NA	NA	NA
HEP_00095700	NA	NA	NA	NA	NA
HEP_00095800	NA	NA	NA	NA	NA
HEP_00095900	NA	NA	NA	NA	NA
HEP_00096000	NA	NA	NA	NA	NA
HEP_00096100	NA	NA	NA	NA	NA
HEP_00098000	NA	NA	NA	NA	NA
HEP_00099200	NA	NA	NA	NA	NA
HEP_00099300	NA	NA	NA	NA	NA
HEP_00100000	NA	NA	NA	NA	NA
HEP_00100300	NA	NA	NA	NA	NA
HEP_00101400	NA	NA	NA	NA	NA
HEP_00101800	NA	NA	NA	NA	NA
HEP_00104000	NA	NA	NA	NA	NA
HEP_00106550	NA	NA	NA	NA	NA
HEP_00107000	NA	NA	NA	NA	NA
HEP_00107400	NA	NA	NA	NA	NA
HEP_00108500	NA	NA	NA	NA	NA
HEP_00113500	NA	NA	NA	NA	NA
HEP_00113700	NA	NA	NA	NA	NA
HEP_00114100	NA	NA	NA	NA	NA
HEP_00114200	NA	NA	NA	NA	NA
HEP_00114300	NA	NA	NA	NA	NA
HEP_00114700	NA	NA	NA	NA	NA
HEP_00117600	NA	NA	NA	NA	NA
HEP_00119000	NA	NA	NA	NA	NA
HEP_00119100	NA	NA	NA	NA	NA
HEP_00119600	NA	NA	NA	NA	NA
HEP_00120250	NA	NA	NA	NA	NA
HEP_00121300	NA	NA	NA	NA	NA
HEP_00121700	NA	NA	NA	NA	NA
HEP_00121800	NA	NA	NA	NA	NA
HEP_00123600	NA	NA	NA	NA	NA
HEP_00124400	NA	NA	NA	NA	NA
HEP_00125600	NA	NA	NA	NA	NA
HEP_00125800	NA	NA	NA	NA	NA
HEP_00125900	NA	NA	NA	NA	NA
HEP_00127400	NA	NA	NA	NA	NA
HEP_00127700	NA	NA	NA	NA	NA
HEP_00128000	NA	NA	NA	NA	NA
HEP_00129000	NA	NA	NA	NA	NA
HEP_00130700	NA	NA	NA	NA	NA
HEP_00131500	NA	NA	NA	NA	NA
HEP_00132900	NA	NA	NA	NA	NA
HEP_00133000	NA	NA	NA	NA	NA
HEP_00133200	NA	NA	NA	NA	NA
HEP_00134900	NA	NA	NA	NA	NA
HEP_00135000	NA	NA	NA	NA	NA
HEP_00137600	NA	NA	NA	NA	NA
HEP_00137700	NA	NA	NA	NA	NA
HEP_00138300	NA	NA	NA	NA	NA
HEP_00138800	NA	NA	NA	NA	NA
HEP_00138900	NA	NA	NA	NA	NA
HEP_00139000	NA	NA	NA	NA	NA
HEP_00139100	NA	NA	NA	NA	NA
HEP_00139200	NA	NA	NA	NA	NA
HEP_00139300	NA	NA	NA	NA	NA
HEP_00139400	NA	NA	NA	NA	NA
HEP_00139700	NA	NA	NA	NA	NA
HEP_00139900	NA	NA	NA	NA	NA
HEP_00140300	NA	NA	NA	NA	NA
HEP_00140700	NA	NA	NA	NA	NA
HEP_00140900	NA	NA	NA	NA	NA
HEP_00142100	NA	NA	NA	NA	NA
HEP_00142400	NA	NA	NA	NA	NA
HEP_00142900	NA	NA	NA	NA	NA
HEP_00145500	NA	NA	NA	NA	NA
HEP_00145600	NA	NA	NA	NA	NA
HEP_00149100	NA	NA	NA	NA	NA
HEP_00149200	NA	NA	NA	NA	NA
HEP_00150700	NA	NA	NA	NA	NA
HEP_00150800	NA	NA	NA	NA	NA
HEP_00150900	NA	NA	NA	NA	NA
HEP_00151000	NA	NA	NA	NA	NA
HEP_00151100	NA	NA	NA	NA	NA
HEP_00151200	NA	NA	NA	NA	NA
HEP_00151300	NA	NA	NA	NA	NA
HEP_00151400	NA	NA	NA	NA	NA
HEP_00151800	NA	NA	NA	NA	NA
HEP_00153000	NA	NA	NA	NA	NA
HEP_00155100	NA	NA	NA	NA	NA
HEP_00156700	NA	NA	NA	NA	NA
HEP_00158200	NA	NA	NA	NA	NA
HEP_00158400	NA	NA	NA	NA	NA
HEP_00158700	NA	NA	NA	NA	NA
HEP_00159100	NA	NA	NA	NA	NA
HEP_00159600	NA	NA	NA	NA	NA
HEP_00160300	NA	NA	NA	NA	NA
HEP_00161700	NA	NA	NA	NA	NA
HEP_00161900	NA	NA	NA	NA	NA
HEP_00162200	NA	NA	NA	NA	NA
HEP_00162700	NA	NA	NA	NA	NA
HEP_00162800	NA	NA	NA	NA	NA
HEP_00163600	NA	NA	NA	NA	NA
HEP_00163800	NA	NA	NA	NA	NA
HEP_00163900	NA	NA	NA	NA	NA
HEP_00164000	NA	NA	NA	NA	NA
HEP_00164100	NA	NA	NA	NA	NA
HEP_00164200	NA	NA	NA	NA	NA
HEP_00164300	NA	NA	NA	NA	NA
HEP_00165000	NA	NA	NA	NA	NA
HEP_00165100	NA	NA	NA	NA	NA
HEP_00165200	NA	NA	NA	NA	NA
HEP_00165300	NA	NA	NA	NA	NA
HEP_00165400	NA	NA	NA	NA	NA
HEP_00165500	NA	NA	NA	NA	NA
HEP_00165600	NA	NA	NA	NA	NA
HEP_00165800	NA	NA	NA	NA	NA
HEP_00166500	NA	NA	NA	NA	NA
HEP_00167400	NA	NA	NA	NA	NA
HEP_00167500	NA	NA	NA	NA	NA
HEP_00169100	NA	NA	NA	NA	NA
HEP_00169400	NA	NA	NA	NA	NA
HEP_00172500	NA	NA	NA	NA	NA
HEP_00173300	NA	NA	NA	NA	NA
HEP_00175000	NA	NA	NA	NA	NA
HEP_00175100	NA	NA	NA	NA	NA
HEP_00175500	NA	NA	NA	NA	NA
HEP_00175900	NA	NA	NA	NA	NA
HEP_00176900	NA	NA	NA	NA	NA
HEP_00177700	NA	NA	NA	NA	NA
HEP_00178500	NA	NA	NA	NA	NA
HEP_00178900	NA	NA	NA	NA	NA
HEP_00179100	NA	NA	NA	NA	NA
HEP_00180000	NA	NA	NA	NA	NA
HEP_00180100	NA	NA	NA	NA	NA
HEP_00180200	NA	NA	NA	NA	NA
HEP_00180300	NA	NA	NA	NA	NA
HEP_00180400	NA	NA	NA	NA	NA
HEP_00180500	NA	NA	NA	NA	NA
HEP_00180600	NA	NA	NA	NA	NA
HEP_00181900	NA	NA	NA	NA	NA
HEP_00183500	NA	NA	NA	NA	NA
HEP_00184000	NA	NA	NA	NA	NA
HEP_00186000	NA	NA	NA	NA	NA
HEP_00186300	NA	NA	NA	NA	NA
HEP_00187100	NA	NA	NA	NA	NA
HEP_00187800	NA	NA	NA	NA	NA
HEP_00189300	NA	NA	NA	NA	NA
HEP_00189500	NA	NA	NA	NA	NA
HEP_00191100	NA	NA	NA	NA	NA
HEP_00191600	NA	NA	NA	NA	NA
HEP_00192500	NA	NA	NA	NA	NA
HEP_00194200	NA	NA	NA	NA	NA
HEP_00194400	NA	NA	NA	NA	NA
HEP_00194500	NA	NA	NA	NA	NA
HEP_00194900	NA	NA	NA	NA	NA
HEP_00195100	NA	NA	NA	NA	NA
HEP_00195300	NA	NA	NA	NA	NA
HEP_00196000	NA	NA	NA	NA	NA
HEP_00196200	NA	NA	NA	NA	NA
HEP_00196600	NA	NA	NA	NA	NA
HEP_00196700	NA	NA	NA	NA	NA
HEP_00198200	NA	NA	NA	NA	NA
HEP_00198300	NA	NA	NA	NA	NA
HEP_00198400	NA	NA	NA	NA	NA
HEP_00198500	NA	NA	NA	NA	NA
HEP_00198600	NA	NA	NA	NA	NA
HEP_00199200	NA	NA	NA	NA	NA
HEP_00199400	NA	NA	NA	NA	NA
HEP_00199700	NA	NA	NA	NA	NA
HEP_00200400	NA	NA	NA	NA	NA
HEP_00201900	NA	NA	NA	NA	NA
HEP_00202300	NA	NA	NA	NA	NA
HEP_00202500	NA	NA	NA	NA	NA
HEP_00202600	NA	NA	NA	NA	NA
HEP_00202700	NA	NA	NA	NA	NA
HEP_00204400	NA	NA	NA	NA	NA
HEP_00204600	NA	NA	NA	NA	NA
HEP_00204700	NA	NA	NA	NA	NA
HEP_00205000	NA	NA	NA	NA	NA
HEP_00205500	NA	NA	NA	NA	NA
HEP_00206000	NA	NA	NA	NA	NA
HEP_00206800	NA	NA	NA	NA	NA
HEP_00207800	NA	NA	NA	NA	NA
HEP_00209400	NA	NA	NA	NA	NA
HEP_00210100	NA	NA	NA	NA	NA
HEP_00210500	NA	NA	NA	NA	NA
HEP_00210800	NA	NA	NA	NA	NA
HEP_00211100	NA	NA	NA	NA	NA
HEP_00211200	NA	NA	NA	NA	NA
HEP_00211400	NA	NA	NA	NA	NA
HEP_00212000	NA	NA	NA	NA	NA
HEP_00212100	NA	NA	NA	NA	NA
HEP_00212200	NA	NA	NA	NA	NA
HEP_00212300	NA	NA	NA	NA	NA
HEP_00212600	NA	NA	NA	NA	NA
HEP_00214400	NA	NA	NA	NA	NA
HEP_00215100	NA	NA	NA	NA	NA
HEP_00215500	NA	NA	NA	NA	NA
HEP_00216600	NA	NA	NA	NA	NA
HEP_00216700	NA	NA	NA	NA	NA
HEP_00217400	NA	NA	NA	NA	NA
HEP_00217800	NA	NA	NA	NA	NA
HEP_00218000	NA	NA	NA	NA	NA
HEP_00218500	NA	NA	NA	NA	NA
HEP_00219300	NA	NA	NA	NA	NA
HEP_00219800	NA	NA	NA	NA	NA
HEP_00221000	NA	NA	NA	NA	NA
HEP_00221600	NA	NA	NA	NA	NA
HEP_00222500	NA	NA	NA	NA	NA
HEP_00223400	NA	NA	NA	NA	NA
HEP_00224700	NA	NA	NA	NA	NA
HEP_00224800	NA	NA	NA	NA	NA
HEP_00224900	NA	NA	NA	NA	NA
HEP_00225300	NA	NA	NA	NA	NA
HEP_00225400	NA	NA	NA	NA	NA
HEP_00226200	NA	NA	NA	NA	NA
HEP_00227200	NA	NA	NA	NA	NA
HEP_00227700	NA	NA	NA	NA	NA
HEP_00228700	NA	NA	NA	NA	NA
HEP_00228800	NA	NA	NA	NA	NA
HEP_00228900	NA	NA	NA	NA	NA
HEP_00229000	NA	NA	NA	NA	NA
HEP_00229100	NA	NA	NA	NA	NA
HEP_00229200	NA	NA	NA	NA	NA
HEP_00229500	NA	NA	NA	NA	NA
HEP_00230700	NA	NA	NA	NA	NA
HEP_00231000	NA	NA	NA	NA	NA
HEP_00231500	NA	NA	NA	NA	NA
HEP_00233300	NA	NA	NA	NA	NA
HEP_00233600	NA	NA	NA	NA	NA
HEP_00233700	NA	NA	NA	NA	NA
HEP_00235000	NA	NA	NA	NA	NA
HEP_00235800	NA	NA	NA	NA	NA
HEP_00237300	NA	NA	NA	NA	NA
HEP_00238400	NA	NA	NA	NA	NA
HEP_00238700	NA	NA	NA	NA	NA
HEP_00240000	NA	NA	NA	NA	NA
HEP_00240100	NA	NA	NA	NA	NA
HEP_00240200	NA	NA	NA	NA	NA
HEP_00240300	NA	NA	NA	NA	NA
HEP_00240400	NA	NA	NA	NA	NA
HEP_00240500	NA	NA	NA	NA	NA
HEP_00240600	NA	NA	NA	NA	NA
HEP_00240700	NA	NA	NA	NA	NA
HEP_00241300	NA	NA	NA	NA	NA
HEP_00242100	NA	NA	NA	NA	NA
HEP_00242600	NA	NA	NA	NA	NA
HEP_00243000	NA	NA	NA	NA	NA
HEP_00243500	NA	NA	NA	NA	NA
HEP_00243700	NA	NA	NA	NA	NA
HEP_00243800	NA	NA	NA	NA	NA
HEP_00244000	NA	NA	NA	NA	NA
HEP_00245500	NA	NA	NA	NA	NA
HEP_00245800	NA	NA	NA	NA	NA
HEP_00246100	NA	NA	NA	NA	NA
HEP_00247500	NA	NA	NA	NA	NA
HEP_00247600	NA	NA	NA	NA	NA
HEP_00247700	NA	NA	NA	NA	NA
HEP_00247800	NA	NA	NA	NA	NA
HEP_00248300	NA	NA	NA	NA	NA
HEP_00248600	NA	NA	NA	NA	NA
HEP_00249100	NA	NA	NA	NA	NA
HEP_00249200	NA	NA	NA	NA	NA
HEP_00249300	NA	NA	NA	NA	NA
HEP_00249400	NA	NA	NA	NA	NA
HEP_00249500	NA	NA	NA	NA	NA
HEP_00250300	NA	NA	NA	NA	NA
HEP_00250400	NA	NA	NA	NA	NA
HEP_00250500	NA	NA	NA	NA	NA
HEP_00250600	NA	NA	NA	NA	NA
HEP_00250700	NA	NA	NA	NA	NA
HEP_00250800	NA	NA	NA	NA	NA
HEP_00250900	NA	NA	NA	NA	NA
HEP_00251000	NA	NA	NA	NA	NA
HEP_00251100	NA	NA	NA	NA	NA
HEP_00251200	NA	NA	NA	NA	NA
HEP_00251400	NA	NA	NA	NA	NA
HEP_00252100	NA	NA	NA	NA	NA
HEP_00252300	NA	NA	NA	NA	NA
HEP_00253500	NA	NA	NA	NA	NA
HEP_00253800	NA	NA	NA	NA	NA
HEP_00254500	NA	NA	NA	NA	NA
HEP_00255600	NA	NA	NA	NA	NA
HEP_00256200	NA	NA	NA	NA	NA
HEP_00256700	NA	NA	NA	NA	NA
HEP_00259300	NA	NA	NA	NA	NA
HEP_00260900	NA	NA	NA	NA	NA
HEP_00261100	NA	NA	NA	NA	NA
HEP_00261500	NA	NA	NA	NA	NA
HEP_00262000	NA	NA	NA	NA	NA
HEP_00262300	NA	NA	NA	NA	NA
HEP_00262800	NA	NA	NA	NA	NA
HEP_00264000	NA	NA	NA	NA	NA
HEP_00264400	NA	NA	NA	NA	NA
HEP_00265900	NA	NA	NA	NA	NA
HEP_00266000	NA	NA	NA	NA	NA
HEP_00266100	NA	NA	NA	NA	NA
HEP_00267100	NA	NA	NA	NA	NA
HEP_00267400	NA	NA	NA	NA	NA
HEP_00267700	NA	NA	NA	NA	NA
HEP_00267800	NA	NA	NA	NA	NA
HEP_00267900	NA	NA	NA	NA	NA
HEP_00268000	NA	NA	NA	NA	NA
HEP_00268100	NA	NA	NA	NA	NA
HEP_00271500	NA	NA	NA	NA	NA
HEP_00271600	NA	NA	NA	NA	NA
HEP_00272000	NA	NA	NA	NA	NA
HEP_00272500	NA	NA	NA	NA	NA
HEP_00272600	NA	NA	NA	NA	NA
HEP_00272700	NA	NA	NA	NA	NA
HEP_00272900	NA	NA	NA	NA	NA
HEP_00273400	NA	NA	NA	NA	NA
HEP_00273800	NA	NA	NA	NA	NA
HEP_00275000	NA	NA	NA	NA	NA
HEP_00276300	NA	NA	NA	NA	NA
HEP_00276600	NA	NA	NA	NA	NA
HEP_00277400	NA	NA	NA	NA	NA
HEP_00278400	NA	NA	NA	NA	NA
HEP_00281400	NA	NA	NA	NA	NA
HEP_00283600	NA	NA	NA	NA	NA
HEP_00285500	NA	NA	NA	NA	NA
HEP_00286900	NA	NA	NA	NA	NA
HEP_00287300	NA	NA	NA	NA	NA
HEP_00288500	NA	NA	NA	NA	NA
HEP_00289200	NA	NA	NA	NA	NA
HEP_00289300	NA	NA	NA	NA	NA
HEP_00289400	NA	NA	NA	NA	NA
HEP_00289500	NA	NA	NA	NA	NA
HEP_00291300	NA	NA	NA	NA	NA
HEP_00291500	NA	NA	NA	NA	NA
HEP_00294200	NA	NA	NA	NA	NA
HEP_00294500	NA	NA	NA	NA	NA
HEP_00295300	NA	NA	NA	NA	NA
HEP_00296000	NA	NA	NA	NA	NA
HEP_00296500	NA	NA	NA	NA	NA
HEP_00296600	NA	NA	NA	NA	NA
HEP_00296700	NA	NA	NA	NA	NA
HEP_00296800	NA	NA	NA	NA	NA
HEP_00296900	NA	NA	NA	NA	NA
HEP_00297000	NA	NA	NA	NA	NA
HEP_00297700	NA	NA	NA	NA	NA
HEP_00298000	NA	NA	NA	NA	NA
HEP_00298400	NA	NA	NA	NA	NA
HEP_00298500	NA	NA	NA	NA	NA
HEP_00300400	NA	NA	NA	NA	NA
HEP_00301800	NA	NA	NA	NA	NA
HEP_00302300	NA	NA	NA	NA	NA
HEP_00303200	NA	NA	NA	NA	NA
HEP_00303300	NA	NA	NA	NA	NA
HEP_00303400	NA	NA	NA	NA	NA
HEP_00303700	NA	NA	NA	NA	NA
HEP_00305000	NA	NA	NA	NA	NA
HEP_00306100	NA	NA	NA	NA	NA
HEP_00306200	NA	NA	NA	NA	NA
HEP_00306500	NA	NA	NA	NA	NA
HEP_00306600	NA	NA	NA	NA	NA
HEP_00308800	NA	NA	NA	NA	NA
HEP_00309300	NA	NA	NA	NA	NA
HEP_00309600	NA	NA	NA	NA	NA
HEP_00309700	NA	NA	NA	NA	NA
HEP_00309800	NA	NA	NA	NA	NA
HEP_00309900	NA	NA	NA	NA	NA
HEP_00310300	NA	NA	NA	NA	NA
HEP_00310400	NA	NA	NA	NA	NA
HEP_00310500	NA	NA	NA	NA	NA
HEP_00312200	NA	NA	NA	NA	NA
HEP_00313400	NA	NA	NA	NA	NA
HEP_00313500	NA	NA	NA	NA	NA
HEP_00313600	NA	NA	NA	NA	NA
HEP_00314100	NA	NA	NA	NA	NA
HEP_00314200	NA	NA	NA	NA	NA
HEP_00315000	NA	NA	NA	NA	NA
HEP_00315300	NA	NA	NA	NA	NA
HEP_00315500	NA	NA	NA	NA	NA
HEP_00315700	NA	NA	NA	NA	NA
HEP_00316200	NA	NA	NA	NA	NA
HEP_00316500	NA	NA	NA	NA	NA
HEP_00316600	NA	NA	NA	NA	NA
HEP_00318400	NA	NA	NA	NA	NA
HEP_00320600	NA	NA	NA	NA	NA
HEP_00320700	NA	NA	NA	NA	NA
HEP_00321000	NA	NA	NA	NA	NA
HEP_00322300	NA	NA	NA	NA	NA
HEP_00322400	NA	NA	NA	NA	NA
HEP_00323000	NA	NA	NA	NA	NA
HEP_00323100	NA	NA	NA	NA	NA
HEP_00323400	NA	NA	NA	NA	NA
HEP_00323700	NA	NA	NA	NA	NA
HEP_00323800	NA	NA	NA	NA	NA
HEP_00323900	NA	NA	NA	NA	NA
HEP_00324000	NA	NA	NA	NA	NA
HEP_00324700	NA	NA	NA	NA	NA
HEP_00324900	NA	NA	NA	NA	NA
HEP_00325000	NA	NA	NA	NA	NA
HEP_00325500	NA	NA	NA	NA	NA
HEP_00325800	NA	NA	NA	NA	NA
HEP_00326000	NA	NA	NA	NA	NA
HEP_00327600	NA	NA	NA	NA	NA
HEP_00327700	NA	NA	NA	NA	NA
HEP_00327800	NA	NA	NA	NA	NA
HEP_00327850	NA	NA	NA	NA	NA
HEP_00327900	NA	NA	NA	NA	NA
HEP_00328000	NA	NA	NA	NA	NA
HEP_00328100	NA	NA	NA	NA	NA
HEP_00328400	NA	NA	NA	NA	NA
HEP_00329300	NA	NA	NA	NA	NA
HEP_00330350	NA	NA	NA	NA	NA
HEP_00330800	NA	NA	NA	NA	NA
HEP_00332600	NA	NA	NA	NA	NA
HEP_00335600	NA	NA	NA	NA	NA
HEP_00335800	NA	NA	NA	NA	NA
HEP_00335900	NA	NA	NA	NA	NA
HEP_00336000	NA	NA	NA	NA	NA
HEP_00336200	NA	NA	NA	NA	NA
HEP_00336600	NA	NA	NA	NA	NA
HEP_00336900	NA	NA	NA	NA	NA
HEP_00337200	NA	NA	NA	NA	NA
HEP_00337300	NA	NA	NA	NA	NA
HEP_00337800	NA	NA	NA	NA	NA
HEP_00338500	NA	NA	NA	NA	NA
HEP_00339100	NA	NA	NA	NA	NA
HEP_00339200	NA	NA	NA	NA	NA
HEP_00339300	NA	NA	NA	NA	NA
HEP_00339400	NA	NA	NA	NA	NA
HEP_00339700	NA	NA	NA	NA	NA
HEP_00340200	NA	NA	NA	NA	NA
HEP_00340300	NA	NA	NA	NA	NA
HEP_00340400	NA	NA	NA	NA	NA
HEP_00340500	NA	NA	NA	NA	NA
HEP_00342200	NA	NA	NA	NA	NA
HEP_00342300	NA	NA	NA	NA	NA
HEP_00342800	NA	NA	NA	NA	NA
HEP_00342900	NA	NA	NA	NA	NA
HEP_00344400	NA	NA	NA	NA	NA
HEP_00344800	NA	NA	NA	NA	NA
HEP_00345100	NA	NA	NA	NA	NA
HEP_00345600	NA	NA	NA	NA	NA
HEP_00345700	NA	NA	NA	NA	NA
HEP_00346100	NA	NA	NA	NA	NA
HEP_00347600	NA	NA	NA	NA	NA
HEP_00348300	NA	NA	NA	NA	NA
HEP_00348400	NA	NA	NA	NA	NA
HEP_00348500	NA	NA	NA	NA	NA
HEP_00348600	NA	NA	NA	NA	NA
HEP_00349100	NA	NA	NA	NA	NA
HEP_00350300	NA	NA	NA	NA	NA
HEP_00352100	NA	NA	NA	NA	NA
HEP_00352900	NA	NA	NA	NA	NA
HEP_00353000	NA	NA	NA	NA	NA
HEP_00353100	NA	NA	NA	NA	NA
HEP_00353700	NA	NA	NA	NA	NA
